"Mun US Noti MT","Semana 01","Semana 02","Semana 03","Semana 04","Semana 05","Semana 06","Semana 07","Semana 08","Semana 09","Semana 10","Semana 11","Semana 12","Semana 13","Semana 14","Semana 15","Semana 16","Semana 17","Semana 18","Semana 19","Semana 20","Semana 21","Semana 22","Semana 23","Semana 24","Semana 25","Semana 26","Semana 27","Semana 28","Semana 29","Semana 30","Semana 31","Semana 32","Semana 33","Semana 34","Semana 35","Semana 36","Semana 37","Semana 38","Semana 39","Semana 40","Semana 41","Semana 42","Total"
"510677 Porto Alegre do Norte",0,2,1,7,8,15,7,4,7,4,2,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"510680 Porto dos Gaúchos",0,0,2,0,2,0,1,2,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,5,3,2,4,6,1,5,2,3,3,1,5,2,3,13,2,75
"510682 Porto Esperidião",0,0,1,5,7,5,9,7,3,2,2,1,2,3,2,4,0,3,3,2,0,0,2,2,0,2,1,2,2,4,3,0,0,0,0,0,0,1,0,3,1,0,84
"510685 Porto Estrela",0,0,2,0,4,2,3,0,2,0,0,0,8,10,5,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42
"510700 Poxoréo",0,0,1,11,11,11,11,1,2,4,4,5,1,3,5,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77
"510704 Primavera do Leste",16,36,36,134,144,145,117,114,114,110,135,117,94,99,133,121,177,140,185,142,143,128,111,130,67,68,47,32,25,25,20,26,15,11,4,5,6,8,10,19,11,4,3224
"510706 Querência",2,3,5,3,16,14,18,46,37,17,23,17,27,16,13,20,14,14,66,120,145,91,55,40,33,23,19,3,1,5,4,2,0,0,0,2,0,0,0,0,0,0,914
"510715 Reserva do Cabaçal",0,0,0,0,0,0,1,0,0,0,0,4,1,4,3,8,3,7,0,0,0,0,0,0,1,2,1,0,0,4,2,0,4,2,0,0,0,3,4,12,0,0,66
"510718 Ribeirão Cascalheira",0,1,0,2,2,2,0,5,2,4,8,5,5,5,11,4,2,5,2,11,9,10,8,14,7,4,5,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,143
"510719 Ribeirãozinho",0,0,1,0,1,0,0,3,0,0,1,5,2,0,1,3,1,0,2,1,3,1,0,2,0,1,1,5,0,0,0,0,0,0,0,3,0,0,0,0,0,2,39
"510720 Rio Branco",5,26,34,18,30,11,13,11,2,11,6,5,9,7,3,2,10,2,4,6,1,2,1,1,1,3,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,230
"510757 Rondolândia",1,3,1,0,0,0,0,1,0,0,1,0,0,2,4,3,0,2,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,2,0,33
"510760 Rondonópolis",10,144,452,410,227,275,159,105,72,22,28,37,17,12,18,10,14,10,14,8,10,4,2,6,4,2,1,2,5,0,0,1,2,0,0,1,2,0,1,0,1,0,2088
"510770 Rosário Oeste",0,0,0,0,0,2,0,1,0,0,1,1,2,1,1,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18
"510774 Santa Cruz do Xingu",0,1,0,1,0,0,0,0,0,0,2,0,1,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"510775 Salto do Céu",0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"510776 Santa Rita do Trivelato",0,0,1,1,2,5,4,5,6,3,7,6,4,2,4,0,7,6,7,7,4,3,5,5,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102
"510724 Santa Carmem",5,11,16,12,16,13,11,3,2,0,1,0,1,0,1,7,5,4,5,4,10,10,4,5,3,0,2,3,1,3,2,1,0,1,1,1,0,1,1,0,0,0,166
"510726 Santo Afonso",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"510777 Santa Terezinha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"510779 Santo Antônio do Leste",0,1,3,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"510780 Santo Antônio do Leverger",0,19,43,36,23,8,23,20,3,1,3,8,3,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
"510785 São Félix do Araguaia",0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,6,4,13,7,15,5,14,10,2,5,5,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,98
"510729 São José do Povo",5,2,2,2,2,4,5,0,8,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37
"510730 São José do Rio Claro",3,3,0,2,1,3,1,7,10,3,9,4,8,10,3,0,0,3,3,1,0,4,6,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91
